destination_port,flow_duration,total_fwd_packets,flow_bytes_per_sec,flow_packets_per_sec,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,fwd_packets_per_sec,bwd_packets_per_sec,avg_packet_size,label,dataset_source,dataset_step,binary_label,binary_label_desc
57826,42.0,1,285714.2857,47619.04762,6.0,6.0,6.0,0.0,0.0,1,6.0,6.0,23809.52381,23809.52381,9.0,BENIGN,cic,1,0,Normal
80,54.409969,10,1606.0,0.165411,0.0,0.000125,3.1e-05,5.4e-05,6.0,4,840.0,766.0,0.091895,0.249024,0.000125,DDoS,botiot,1,1,Attack
53076,4.0,2,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,500000.0,0.0,0.0,BENIGN,cic,1,0,Normal
53,24790.0,2,10649.45543,161.3553852,32.0,100.0,59.2,37.24513391,0.0,2,64.0,200.0,80.67769262,80.67769262,74.0,BENIGN,cic,1,0,Normal
22022,101401122.0,12,0.0,0.118341885802802,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.118341885802802,0.0,0.0,Syn,cic,1,1,Attack
14894,31715.0,200,2774712.2812549267,6306.164275579379,440.0,440.0,440.0,0.0,0.0,0,88000.0,0.0,6306.164275579377,0.0,442.2,DrDoS_DNS,cic,1,1,Attack
53,105573576.0,2,4.86864251,0.037888269,51.0,291.0,113.0,102.9538732,0.0,2,109.0,405.0,0.018944134,0.018944134,141.25,BENIGN,cic,1,0,Normal
53,20638.0,2,10950.673514875472,193.81723035177828,34.0,79.0,52.0,24.647515087732486,0.0,2,68.0,158.0,96.90861517588915,96.90861517588915,65.0,BENIGN,cic,1,0,Normal
57027,4.0,3,0.0,750000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,750000.0,0.0,0.0,BENIGN,cic,1,0,Normal
53,196.0,2,897959.1837,20408.16327,36.0,52.0,42.4,8.76356092,0.0,2,72.0,104.0,10204.08163,10204.08163,53.0,BENIGN,cic,1,0,Normal
41565,113006587.0,16,0.0,0.1592827504825006,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.1415846670955561,0.0176980833869445,0.0,Syn,cic,1,1,Attack
80.0,1940.859253,35029,33491025.0,18.047676,3.56061,4.99944,4.956414,0.091445,35029.0,0,33491025.0,0.0,18.047676,0.0,1913.175903,Normal,botiot,1,0,Normal
53,0.01491,2,1209.0,67.069077,0.01491,0.01491,0.01491,0.0,1.0,1,70.0,1139.0,0.0,0.0,0.01491,Normal,botiot,1,0,Normal
56353,107717.0,4,12978.452797608548,37.13434276855093,330.0,369.0,345.6,21.36117974270148,0.0,0,1398.0,0.0,37.13434276855093,0.0,432.0,DrDoS_UDP,cic,1,1,Attack
57055,4.0,3,0.0,750000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,750000.0,0.0,0.0,BENIGN,cic,1,0,Normal
80,9114719.0,4,2.633103665,0.438850611,6.0,6.0,6.0,0.0,0.0,0,24.0,0.0,0.438850611,0.0,7.5,DDoS,cic,1,1,Attack
53,324.0,2,913580.2469,12345.67901,45.0,103.0,68.2,31.76790834,0.0,2,90.0,206.0,6172.839506,6172.839506,85.25,BENIGN,cic,1,0,Normal
80,115867540.0,23,177.2886522,0.397005063,0.0,4380.0,437.0638298,930.7424433,0.0,23,1228.0,19314.0,0.198502531,0.198502531,446.5652174,BENIGN,cic,1,0,Normal
80,75486.0,3,158506.2131,119.2274064,0.0,5792.0,1196.5,1885.974505,0.0,6,370.0,11595.0,39.7424688,79.4849376,1329.444444,DoS Hulk,cic,1,1,Attack
80.0,21.083179,10,1649.0,0.426881,0.0,9.5e-05,2.4e-05,4.1e-05,6.0,4,883.0,766.0,0.237156,0.24938,9.5e-05,DoS,botiot,1,1,Attack
11254,1.0,2,458000000.0,2000000.0,229.0,229.0,229.0,0.0,0.0,0,458.0,0.0,2000000.0,0.0,343.5,DrDoS_SNMP,cic,1,1,Attack
11281,86003.0,200,1023220.120228364,2325.500273246282,440.0,440.0,440.0,0.0,0.0,0,88000.0,0.0,2325.500273246282,0.0,442.2,DrDoS_DNS,cic,1,1,Attack
21,8119578.0,9,35.96246012,2.95581864,0.0,34.0,11.68,12.56224502,0.0,15,104.0,188.0,1.10843199,1.84738665,12.16666667,FTP-Patator,cic,1,1,Attack
53,198909.0,2,1558.501626,20.1096984,38.0,117.0,69.6,43.27008204,0.0,2,76.0,234.0,10.0548492,10.0548492,87.0,BENIGN,cic,1,0,Normal
53,47895.0,4,5595.573651,125.274037,32.0,70.0,42.85714286,18.54210139,0.0,2,128.0,140.0,83.51602464,41.75801232,50.0,BENIGN,cic,1,0,Normal
80,21.054039,10,1775.0,0.427471,0.0,0.005742,0.001914,0.002707,6.0,4,1009.0,766.0,0.237484,0.593898,0.005742,DDoS,botiot,1,1,Attack
53,20583.0,2,9328.086284798132,194.3351309332945,40.0,56.0,46.4,8.763560920082657,0.0,2,80.0,112.0,97.16756546664725,97.16756546664725,58.0,BENIGN,cic,1,0,Normal
260,1.0,2,2944000000.0,2000000.0,1472.0,1472.0,1472.0,0.0,0.0,0,2944.0,0.0,2000000.0,0.0,2208.0,DrDoS_MSSQL,cic,1,1,Attack
80,7773047.0,5,3.859490365,0.643248394,6.0,6.0,6.0,0.0,0.0,0,30.0,0.0,0.643248394,0.0,7.2,DDoS,cic,1,1,Attack
57000,121.0,1,0.0,24793.388429752067,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,8264.462809917355,16528.92561983471,0.0,BENIGN,cic,1,0,Normal
3030.0,1.3e-05,2,120.0,76923.078125,1.3e-05,1.3e-05,1.3e-05,0.0,1.0,1,60.0,60.0,0.0,0.0,1.3e-05,Reconnaissance,botiot,1,1,Attack
8080,88940.0,4,3834.045424,78.70474477,0.0,195.0,42.625,75.57576615,0.0,3,207.0,134.0,44.97413987,33.7306049,48.71428571,Bot,cic,1,1,Attack
53,20549.0,2,6423.670251593751,194.6566742907197,25.0,41.0,31.4,8.763560920082657,0.0,2,50.0,82.0,97.32833714535988,97.32833714535988,39.25,BENIGN,cic,1,0,Normal
80,4576919.0,5,6.554627687,1.092437948,6.0,6.0,6.0,0.0,0.0,0,30.0,0.0,1.092437948,0.0,7.2,DDoS,cic,1,1,Attack
80,21.05724,10,1723.0,0.427406,0.0,0.00598,0.001993,0.002819,6.0,4,957.0,766.0,0.237448,0.593963,0.00598,DDoS,botiot,1,1,Attack
23734,214504.0,6,9734.084212881811,27.97150635885578,321.0,393.0,344.1428571428572,33.61759743263722,0.0,0,2088.0,0.0,27.97150635885578,0.0,401.5,DrDoS_UDP,cic,1,1,Attack
47782,3.0,2,10300000.0,666666.6667,0.0,31.0,20.66666667,17.89785834,0.0,0,31.0,0.0,666666.6667,0.0,31.0,BENIGN,cic,1,0,Normal
443,116743231.0,23,72.98067671,0.368329706,0.0,1460.0,193.6363636,448.7186455,0.0,20,920.0,7600.0,0.197013564,0.171316143,198.1395349,BENIGN,cic,1,0,Normal
51545,107.0,1,0.0,28037.383177570093,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,9345.794392523365,18691.58878504673,0.0,BENIGN,cic,1,0,Normal
15142,36900.0,200,2384823.848238482,5420.054200542005,440.0,440.0,440.0,0.0,0.0,0,88000.0,0.0,5420.054200542005,0.0,442.2,DrDoS_DNS,cic,1,1,Attack
443,20272653.0,23,1213.999963,2.071756469,0.0,2915.0,572.3488372,883.6644451,0.0,19,1115.0,23496.0,1.134533305,0.937223165,585.9761905,BENIGN,cic,1,0,Normal
139,69561.0,49,81597.44685,1135.693851,0.0,440.0,70.95,98.52685813,0.0,30,2488.0,3188.0,704.4177053,431.2761461,71.84810127,BENIGN,cic,1,0,Normal
58454,43839.0,200,2007345.058053332,4562.147859212117,440.0,440.0,440.0,0.0,0.0,0,88000.0,0.0,4562.147859212117,0.0,442.2,DrDoS_DNS,cic,1,1,Attack
7621,1.0,2,766000000.0,2000000.0,383.0,383.0,383.0,0.0,0.0,0,766.0,0.0,2000000.0,0.0,574.5,DrDoS_UDP,cic,1,1,Attack
443,265849.0,16,93778.79924,146.6998183,0.0,4344.0,623.275,1099.778019,0.0,23,816.0,24115.0,60.18454085,86.51527747,639.2564103,BENIGN,cic,1,0,Normal
2608,43.0,1,186046.5116,46511.62791,2.0,6.0,3.333333333,2.309401077,0.0,1,2.0,6.0,23255.81395,23255.81395,5.0,PortScan,cic,1,1,Attack
53527,239.0,1,0.0,8368.200837,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,4184.100418,4184.100418,0.0,BENIGN,cic,1,0,Normal
80.0,18.94611,10,1567.0,0.475032,0.0,4.940216,1.646739,2.32884,6.0,4,801.0,766.0,0.263906,0.300339,4.940216,DoS,botiot,1,1,Attack
53,178.0,2,1123595.506,22471.91011,42.0,58.0,48.4,8.76356092,0.0,2,84.0,116.0,11235.95506,11235.95506,60.5,BENIGN,cic,1,0,Normal
53,233.0,2,1218884.12,17167.38197,39.0,103.0,64.6,35.05424368,0.0,2,78.0,206.0,8583.690987,8583.690987,80.75,BENIGN,cic,1,0,Normal
80.0,13.935148,10,1540.0,0.645849,0.0,1.906956,0.635679,0.898929,6.0,4,774.0,766.0,0.358805,0.249414,1.907037,DDoS,botiot,1,1,Attack
8821,27.0,1,444444.4444,74074.07407,6.0,6.0,6.0,0.0,0.0,1,6.0,6.0,37037.03704,37037.03704,9.0,BENIGN,cic,1,0,Normal
52447,226.0,2,0.0,8849.557522,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,8849.557522,0.0,0.0,BENIGN,cic,1,0,Normal
80,55082.0,1,0.0,54.464253295087325,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,18.15475109836245,36.30950219672489,0.0,BENIGN,cic,1,0,Normal
9935,1.0,2,750000000.0,2000000.0,375.0,375.0,375.0,0.0,0.0,0,750.0,0.0,2000000.0,0.0,562.5,DrDoS_UDP,cic,1,1,Attack
21,4289.0,4,4663.09163,1398.927489,0.0,20.0,2.857142857,7.55928946,0.0,2,0.0,20.0,932.618326,466.309163,3.333333333,PortScan,cic,1,1,Attack
80,21.051105,10,1569.0,0.427531,0.0,0.009438,0.003146,0.004449,6.0,4,803.0,766.0,0.237517,0.59378,0.009438,DDoS,botiot,1,1,Attack
80.0,22.538246,8,2040.0,0.310583,0.00012,3.980663,1.990391,1.990272,5.0,3,710.0,1330.0,0.177476,0.107773,3.980783,DoS,botiot,1,1,Attack
53,23655.0,1,5072.923272,84.5487212,52.0,68.0,57.33333333,9.237604307,0.0,1,52.0,68.0,42.2743606,42.2743606,86.0,BENIGN,cic,1,0,Normal
53,46733.0,1,4044.251386,42.79631096,48.0,141.0,79.0,53.69357503,0.0,1,48.0,141.0,21.39815548,21.39815548,118.5,BENIGN,cic,1,0,Normal
443,10031819.0,2,4.884458143,0.398731277,6.0,31.0,11.0,11.18033989,0.0,2,12.0,37.0,0.199365638,0.199365638,13.75,BENIGN,cic,1,0,Normal
443,5665943.0,9,1064.959531,2.647396912,0.0,2260.0,377.125,695.9433765,0.0,6,370.0,5664.0,1.588438147,1.058958765,402.2666667,BENIGN,cic,1,0,Normal
41033,1.0,2,458000000.0,2000000.0,229.0,229.0,229.0,0.0,0.0,0,458.0,0.0,2000000.0,0.0,343.5,DrDoS_SNMP,cic,1,1,Attack
80,62202.0,3,187019.71,128.6132279,0.0,8675.0,1292.555556,2931.429562,0.0,5,26.0,11607.0,48.22996045,80.38326742,1454.125,DDoS,cic,1,1,Attack
80,879579.0,3,13218.82401,11.36907543,0.0,2920.0,1057.0,1306.290856,0.0,7,26.0,11601.0,3.41072263,7.958352803,1162.7,DDoS,cic,1,1,Attack
80,5225227.0,3,2.296550944,0.765516981,0.0,6.0,2.4,3.286335345,0.0,1,12.0,0.0,0.574137736,0.191379245,3.0,BENIGN,cic,1,0,Normal
443,187013.0,49,573136.6269,593.5416254,0.0,2896.0,957.0,1031.898434,0.0,62,1343.0,105841.0,262.0138707,331.5277548,965.6216216,BENIGN,cic,1,0,Normal
55126,80.0,1,150000.0,25000.0,6.0,6.0,6.0,0.0,0.0,1,6.0,6.0,12500.0,12500.0,9.0,BENIGN,cic,1,0,Normal
53,274.0,2,2189781.022,14598.54015,33.0,267.0,126.6,128.1670785,0.0,2,66.0,534.0,7299.270073,7299.270073,158.25,BENIGN,cic,1,0,Normal
443,76038875.0,17,102.8289806,0.447139703,0.0,1492.0,223.4,458.8042771,0.0,17,2465.0,5354.0,0.223569852,0.223569852,229.9705882,BENIGN,cic,1,0,Normal
80,5046942.0,5,0.0,1.3869784911338392,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.9906989222384566,0.3962795688953826,0.0,BENIGN,cic,1,0,Normal
20543,50646.0,200,1737550.843107057,3948.979188879675,440.0,440.0,440.0,0.0,0.0,0,88000.0,0.0,3948.9791888796753,0.0,442.2,DrDoS_DNS,cic,1,1,Attack
80.0,26.772022,10,1686.0,0.336172,0.0,0.000205,6.8e-05,9.7e-05,6.0,4,920.0,766.0,0.186762,0.594643,0.000205,DDoS,botiot,1,1,Attack
80,8579645.0,4,2.797318537,0.466219756,6.0,6.0,6.0,0.0,0.0,0,24.0,0.0,0.466219756,0.0,7.5,DDoS,cic,1,1,Attack
80,1271982.0,3,9145.56967,7.075571824,0.0,5840.0,1163.3,2138.329153,0.0,6,26.0,11607.0,2.358523941,4.717047883,1292.555556,DDoS,cic,1,1,Attack
21,3.0,2,4666666.667,666666.6667,0.0,14.0,9.333333333,8.082903769,0.0,0,14.0,0.0,666666.6667,0.0,14.0,FTP-Patator,cic,1,1,Attack
80,14625.0,3,817572.6496,615.3846154,0.0,5803.0,1195.7,2120.689304,0.0,6,362.0,11595.0,205.1282051,410.2564103,1328.555556,DoS Hulk,cic,1,1,Attack
4836,2.0,2,211000000.0,1000000.0,211.0,211.0,211.0,0.0,0.0,0,422.0,0.0,1000000.0,0.0,316.5,DrDoS_SNMP,cic,1,1,Attack
80.0,21.00289,10,1684.0,0.428512,0.0,0.000195,4.9e-05,8.4e-05,6.0,4,918.0,766.0,0.238062,0.249292,0.000195,DoS,botiot,1,1,Attack
21,68.0,1,0.0,29411.76471,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,14705.88235,14705.88235,0.0,FTP-Patator,cic,1,1,Attack
22,2.326744,29,5270.0,12.033983,2.326744,2.326744,2.326744,0.0,13.0,16,1666.0,3604.0,5.157422,6.446777,2.326744,Theft,botiot,1,1,Attack
4433,0.000161,2,134.0,6211.180176,0.000161,0.000161,0.000161,0.0,1.0,1,74.0,60.0,0.0,0.0,0.000161,Theft,botiot,1,1,Attack
443,37835.0,1,0.0,52.86110744,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,26.43055372,26.43055372,0.0,BENIGN,cic,1,0,Normal
443,142820.0,47,730135.8353,700.1820473,0.0,4344.0,1032.455446,1176.044808,0.0,53,1319.0,102959.0,329.0855622,371.0964851,1042.78,BENIGN,cic,1,0,Normal
80.0,21.047171,10,1833.0,0.427611,0.0,0.003747,0.001249,0.001766,6.0,4,1067.0,766.0,0.237562,0.593759,0.003747,DoS,botiot,1,1,Attack
443,30398306.0,11,234.4867507,0.822414249,0.0,1448.0,274.1538462,484.7367692,0.0,14,1312.0,5816.0,0.36186227,0.460551979,285.12,BENIGN,cic,1,0,Normal
51565,183.0,1,0.0,16393.44262295082,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,5464.48087431694,10928.96174863388,0.0,BENIGN,cic,1,0,Normal
53,201.0,2,1363184.08,19900.49751,40.0,97.0,62.8,31.22018578,0.0,2,80.0,194.0,9950.248756,9950.248756,78.5,BENIGN,cic,1,0,Normal
80.0,13.343016,19,6154.0,1.34902,0.03183,3.327148,1.937098,1.393764,14.0,5,4676.0,1478.0,0.974293,0.299782,5.811295,DoS,botiot,1,1,Attack
80,10417544.0,4,2.303805964,0.383967661,6.0,6.0,6.0,0.0,0.0,0,24.0,0.0,0.383967661,0.0,7.5,DDoS,cic,1,1,Attack
51538,54.0,1,0.0,37037.03704,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,18518.51852,18518.51852,0.0,BENIGN,cic,1,0,Normal
4433,0.000153,2,134.0,6535.947754,0.000153,0.000153,0.000153,0.0,1.0,1,74.0,60.0,0.0,0.0,0.000153,Theft,botiot,1,1,Attack
20166,2.0,2,487000000.0,1000000.0,487.0,487.0,487.0,0.0,0.0,0,974.0,0.0,1000000.0,0.0,730.5,UDP,cic,1,1,Attack
443,21517897.0,19,1030.119254,1.812444776,0.0,2896.0,554.15,776.0917059,0.0,20,1115.0,21051.0,0.882985916,0.929458859,568.3589744,BENIGN,cic,1,0,Normal
443,9.0,1,1333333.333,222222.2222,6.0,6.0,6.0,0.0,0.0,1,6.0,6.0,111111.1111,111111.1111,9.0,BENIGN,cic,1,0,Normal
53,185.0,2,1751351.351,21621.62162,30.0,132.0,70.8,55.86770087,0.0,2,60.0,264.0,10810.81081,10810.81081,88.5,BENIGN,cic,1,0,Normal
54278,44.0,1,0.0,45454.54545,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,22727.27273,22727.27273,0.0,BENIGN,cic,1,0,Normal
443,76606391.0,17,102.1585784,0.4438272,0.0,1492.0,223.6,459.1852888,0.0,17,2464.0,5362.0,0.2219136,0.2219136,230.1764706,BENIGN,cic,1,0,Normal
80,23616.0,1,508.1300813,84.68834688,6.0,6.0,6.0,0.0,0.0,1,6.0,6.0,42.34417344,42.34417344,9.0,BENIGN,cic,1,0,Normal
5353,0.0,1,87.0,0.0,0.0,0.0,0.0,0.0,1.0,0,87.0,0.0,0.0,0.0,0.0,Normal,botiot,1,0,Normal
3268,115812212.0,22,80.66506838,0.30221338,0.0,2910.0,259.5,627.4245999,0.0,13,2986.0,6356.0,0.189962696,0.112250684,266.9142857,BENIGN,cic,1,0,Normal
53,246.0,2,1154471.545,16260.1626,33.0,109.0,63.4,41.62691437,0.0,2,66.0,218.0,8130.081301,8130.081301,79.25,BENIGN,cic,1,0,Normal
53,172.0,2,1139534.884,23255.81395,41.0,57.0,47.4,8.76356092,0.0,2,82.0,114.0,11627.90698,11627.90698,59.25,BENIGN,cic,1,0,Normal
80.0,20.469645,22,5440.0,1.025909,0.031796,3.656092,2.44399,1.414954,17.0,5,3962.0,1478.0,0.781645,0.299766,9.775958,DoS,botiot,1,1,Attack
53,84231.0,1,2338.806378,23.74422718,49.0,148.0,82.0,57.15767665,0.0,1,49.0,148.0,11.87211359,11.87211359,123.0,BENIGN,cic,1,0,Normal
443,22227.0,3,2924.37126,134.9709812,6.0,53.0,17.75,23.5,0.0,0,65.0,0.0,134.9709812,0.0,23.66666667,BENIGN,cic,1,0,Normal
9165,102.0,1,117647.0588,19607.84314,6.0,6.0,6.0,0.0,0.0,1,6.0,6.0,9803.921569,9803.921569,9.0,BENIGN,cic,1,0,Normal
53,20721.0,2,11196.370831523574,193.04087640557887,44.0,72.0,55.2,15.336231610144653,0.0,2,88.0,144.0,96.52043820278944,96.52043820278944,69.0,BENIGN,cic,1,0,Normal
443,5615089.0,9,877.6352432,2.849465075,0.0,1511.0,289.8823529,569.1695576,0.0,7,389.0,4539.0,1.602824105,1.24664097,308.0,BENIGN,cic,1,0,Normal
55401,74.0,1,162162.1622,27027.02703,6.0,6.0,6.0,0.0,0.0,1,6.0,6.0,13513.51351,13513.51351,9.0,BENIGN,cic,1,0,Normal
53,559.0,1,323792.4866,3577.817531,47.0,134.0,76.0,50.22947342,0.0,1,47.0,134.0,1788.908766,1788.908766,114.0,BENIGN,cic,1,0,Normal
53,23745.0,1,12044.64098,84.22825858,79.0,207.0,121.6666667,73.90083446,0.0,1,79.0,207.0,42.11412929,42.11412929,182.5,BENIGN,cic,1,0,Normal
80,76363806.0,15,45.0737094,0.366665852,0.0,597.0,118.6896552,236.6958723,0.0,13,1784.0,1658.0,0.196428135,0.170237717,122.9285714,BENIGN,cic,1,0,Normal
80,47673.0,3,27562.77138,146.8336375,0.0,860.0,164.25,319.3698036,0.0,4,442.0,872.0,62.92870178,83.90493571,187.7142857,BENIGN,cic,1,0,Normal
53,0.14437,2,1209.0,6.926647,0.14437,0.14437,0.14437,0.0,1.0,1,70.0,1139.0,0.0,0.0,0.14437,Normal,botiot,1,0,Normal
443,1.0,2,31000000.0,2000000.0,0.0,31.0,20.666666666666664,17.8978583448784,0.0,0,31.0,0.0,2000000.0,0.0,31.0,BENIGN,cic,1,0,Normal
46356,57000.0,200,1543859.649122807,3508.771929824561,440.0,440.0,440.0,0.0,0.0,0,88000.0,0.0,3508.771929824561,0.0,442.2,DrDoS_DNS,cic,1,1,Attack
4010,3.0,2,981333333.3333333,666666.6666666666,1472.0,1472.0,1472.0,0.0,0.0,0,2944.0,0.0,666666.6666666665,0.0,2208.0,DrDoS_DNS,cic,1,1,Attack
80,137543.0,3,87056.41145,65.43408243,0.0,4344.0,1197.4,1619.687158,0.0,6,379.0,11595.0,21.81136081,43.62272162,1330.444444,DoS Hulk,cic,1,1,Attack
53,20656.0,2,9488.76839659179,193.64833462432225,41.0,57.0,47.4,8.763560920082657,0.0,2,82.0,114.0,96.82416731216112,96.82416731216112,59.25,BENIGN,cic,1,0,Normal
80.0,19.980276,10,1503.0,0.450444,0.0,0.000336,8.4e-05,0.000145,6.0,4,737.0,766.0,0.250247,0.272639,0.000336,DoS,botiot,1,1,Attack
80.0,19.978922,10,1465.0,0.450475,0.0,0.000127,3.2e-05,5.5e-05,6.0,4,699.0,766.0,0.250264,0.271786,0.000127,DoS,botiot,1,1,Attack
443,75187805.0,14,38.4769844,0.372400817,0.0,1066.0,99.75862069,282.3268945,0.0,14,1646.0,1247.0,0.186200408,0.186200408,103.3214286,BENIGN,cic,1,0,Normal
19000,28393.0,200,3099355.4749410064,7043.989715775015,440.0,440.0,440.0,0.0,0.0,0,88000.0,0.0,7043.989715775015,0.0,442.2,DrDoS_DNS,cic,1,1,Attack
80,15927034.0,11,812.9573906,1.130153926,0.0,4344.0,681.4736842,1283.013699,0.0,7,1316.0,11632.0,0.690649621,0.439504304,719.3333333,DoS GoldenEye,cic,1,1,Attack
21664,3.0,2,704666666.6666666,666666.6666666666,1057.0,1057.0,1057.0,0.0,0.0,0,2114.0,0.0,666666.6666666665,0.0,1585.5,DrDoS_DNS,cic,1,1,Attack
443,673632.0,7,13590.50639,22.26735072,0.0,4327.0,572.1875,1138.056836,0.0,8,4670.0,4485.0,10.39143034,11.87592038,610.3333333,BENIGN,cic,1,0,Normal
80.0,6.998402,8,1685.0,1.000228,8.6e-05,0.019856,0.009971,0.009885,5.0,3,985.0,700.0,0.571559,0.286593,0.019942,DDoS,botiot,1,1,Attack
53,322.0,2,658385.0932,12422.36025,45.0,61.0,51.4,8.76356092,0.0,2,90.0,122.0,6211.180124,6211.180124,64.25,BENIGN,cic,1,0,Normal
80.0,21.042341,10,1602.0,0.427709,0.0,0.000454,0.000151,0.000214,6.0,4,836.0,766.0,0.237616,0.594336,0.000454,DoS,botiot,1,1,Attack
80,13.980025,10,1535.0,0.643776,0.0,1.927912,0.642666,0.908806,6.0,4,769.0,766.0,0.357653,0.248919,1.927998,DDoS,botiot,1,1,Attack
32168,116989878.0,16,0.0,0.1367639685888038,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1367639685888038,0.0,0.0,Syn,cic,1,1,Attack
80,8616216.0,4,2.78544549,0.464240915,6.0,6.0,6.0,0.0,0.0,0,24.0,0.0,0.464240915,0.0,7.5,DDoS,cic,1,1,Attack
80,32332.0,1,0.0,61.85822096,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,30.92911048,30.92911048,0.0,BENIGN,cic,1,0,Normal
53,262.0,2,1511450.382,15267.17557,83.0,115.0,95.8,17.52712184,0.0,2,166.0,230.0,7633.587786,7633.587786,119.75,BENIGN,cic,1,0,Normal
53,46602.0,4,7510.407279,128.7498391,37.0,101.0,55.28571429,31.22880233,0.0,2,148.0,202.0,85.83322604,42.91661302,64.5,BENIGN,cic,1,0,Normal
443,60521299.0,11,129.7394492,0.330462173,0.0,1460.0,373.9047619,472.9678535,0.0,9,3284.0,4568.0,0.181754195,0.148707978,392.6,BENIGN,cic,1,0,Normal
